"destino","station_count"
"Streeter Dr & Grand Ave",28024
"Millennium Park",20222
"Lake Shore Dr & Monroe St",19480
"Theater on the Lake",15639
"Michigan Ave & Oak St",13807
"Lake Shore Dr & North Blvd",13739
"Indiana Ave & Roosevelt Rd",13198
"Clark St & Elm St",11079
"Michigan Ave & Lake St",10779
"Michigan Ave & Washington St",10687
"Clark St & Lincoln Ave",10534
"Buckingham Fountain",9893
"Wabash Ave & Grand Ave",9791
"Clark St & Armitage Ave",9648
"Wells St & Concord Ln",9594
"Michigan Ave & 8th St",9510
"Fairbanks Ct & Grand Ave",9274
"Wabash Ave & Roosevelt Rd",9258
"Broadway & Barry Ave",8710
"Lake Shore Dr & Wellington Ave",8699
"Dearborn St & Erie St",8660
"Lake Shore Dr & Belmont Ave",8623
"Larrabee St & Webster Ave",8471
"Wells St & Evergreen Ave",8461
"Wells St & Elm St",8181
"Lakeview Ave & Fullerton Pkwy",8037
"Lake Shore Dr & Diversey Pkwy",8031
"Wabash Ave & Wacker Pl",7965
"Wells St & Huron St",7951
"Shedd Aquarium",7632
"Otros destinos",1012734
