"inicio","station_count"
"Streeter Dr & Grand Ave",25769
"Lake Shore Dr & Monroe St",19892
"Millennium Park",19436
"Theater on the Lake",13986
"Michigan Ave & Oak St",13358
"Indiana Ave & Roosevelt Rd",13138
"Lake Shore Dr & North Blvd",12884
"Clark St & Elm St",11702
"Michigan Ave & Lake St",11268
"Michigan Ave & Washington St",10724
"Buckingham Fountain",10458
"Clark St & Lincoln Ave",10402
"Michigan Ave & 8th St",9919
"Clark St & Armitage Ave",9914
"Wells St & Concord Ln",9574
"Columbus Dr & Randolph St",9559
"Wabash Ave & Grand Ave",9537
"Shedd Aquarium",9295
"Fairbanks Ct & Grand Ave",8746
"Wells St & Elm St",8700
"Wabash Ave & Roosevelt Rd",8689
"Dearborn St & Erie St",8663
"Lake Shore Dr & Wellington Ave",8577
"Wells St & Evergreen Ave",8552
"Lakeview Ave & Fullerton Pkwy",8427
"Lake Shore Dr & Belmont Ave",8392
"Broadway & Barry Ave",8291
"Larrabee St & Webster Ave",8272
"Wells St & Huron St",8132
"Lake Shore Dr & Diversey Pkwy",7961
"Otros inicios",1014094
