"ruta","ruta_count"
"Streeter Dr & Grand Ave - Streeter Dr & Grand Ave",6192
"Lake Shore Dr & Monroe St - Lake Shore Dr & Monroe St",5959
"Millennium Park - Millennium Park",5257
"Buckingham Fountain - Buckingham Fountain",5095
"Indiana Ave & Roosevelt Rd - Indiana Ave & Roosevelt Rd",3887
"Michigan Ave & Oak St - Michigan Ave & Oak St",3668
"Michigan Ave & 8th St - Michigan Ave & 8th St",3342
"Fort Dearborn Dr & 31st St - Fort Dearborn Dr & 31st St",3050
"Shore Dr & 55th St - Shore Dr & 55th St",2980
"WATSON TESTING - DIVVY - WATSON TESTING - DIVVY",2819
"Theater on the Lake - Theater on the Lake",2674
"Michigan Ave & Lake St - Michigan Ave & Lake St",2641
"Wabash Ave & 9th St - Wabash Ave & 9th St",2552
"Lake Shore Dr & North Blvd - Lake Shore Dr & North Blvd",2528
"Michigan Ave & Washington St - Michigan Ave & Washington St",2441
"Columbus Dr & Randolph St - Columbus Dr & Randolph St",2388
"Wabash Ave & Roosevelt Rd - Wabash Ave & Roosevelt Rd",2321
"Fairbanks Ct & Grand Ave - Fairbanks Ct & Grand Ave",2191
"Cannon Dr & Fullerton Ave - Cannon Dr & Fullerton Ave",1997
"Wabash Ave & Wacker Pl - Wabash Ave & Wacker Pl",1977
"Wabash Ave & Grand Ave - Wabash Ave & Grand Ave",1968
"Lakefront Trail & Bryn Mawr Ave - Lakefront Trail & Bryn Mawr Ave",1965
"Lake Shore Dr & Ohio St - Lake Shore Dr & Ohio St",1780
"Lake Shore Dr & Monroe St - Streeter Dr & Grand Ave",1766
"Lake Shore Dr & Belmont Ave - Lake Shore Dr & Belmont Ave",1762
"McClurg Ct & Illinois St - McClurg Ct & Illinois St",1748
"Lake Park Ave & 35th St - Lake Park Ave & 35th St",1739
"Lincoln Park Conservatory - Lincoln Park Conservatory",1707
"Marine Dr & Ainslie St - Marine Dr & Ainslie St",1607
"Clark St & Lincoln Ave - Clark St & Lincoln Ave",1535
"Otras rutas",1262775
